416.11,-650.28,-1511.9,-1419.7,-1699.5,-5449.4,-14366,-25854,-34089,-34622,-27978,-18642,-10815,-5521.4,-1458.7,2408.1,5834.1,8401,10552,13014,15621,17342,17504,16561,15473,14605,13514,11724,9384.1,7084.3,5256.5,3904.5,2804.5,1768.4
-3346.4,-2560.9,-2520,-2581.1,-1616.9,-753.53,-3596.9,-12369,-24082,-31937,-31273,-23699,-14920,-9077.2,-5935.9,-3099.3,513.98,4067.4,6696.3,8686.1,10685,12655,14088,14764,14778,14103,12692,10970,9657.2,8927.8,8146.8,6757.8,5121.7,4066.4
1209.5,1521.7,745.58,-1016.9,-3036.6,-4965.4,-7220.9,-10098,-12763,-13621,-11787,-7933,-3506.3,648.21,4642.6,8696.5,12381,14913,15987,16038,15659,14965,13611,11381,8643.2,6200.7,4664.9,3943.4,3345.6,2250.1,688.4,-764.91,-1661.7,-2130.7
-4215.1,-3656.8,-2984.1,-2564.3,-2712.4,-3708.1,-5685.5,-8253.8,-10390,-11102,-10311,-8844.7,-7409.1,-5816.8,-3517.3,-715.55,1521.5,2433.8,2465.2,2624.2,3119.7,3102.9,1873.9,-49.971,-1387,-1425.1,-551.04,491.39,1441.7,2433.9,3406.9,4018.2,4112.8,3923
2339.6,1931.4,801.85,411.49,1118.4,553.46,-4704.4,-15262,-27053,-34002,-32868,-25490,-16504,-9343,-4507,-912.06,2171.7,4793.4,7117.1,9617.6,12377,14737,15984,16132,15709,14963,13690,11875,10044,8682.6,7564.5,6086.4,4229.3,2765.4
1231.6,1132.9,1134.9,1653.1,1328.2,-2794.5,-12266,-24319,-32849,-33154,-25890,-16155,-8799,-4886.5,-2430.7,426.89,3725.2,6726.8,9434.1,12366,15270,16959,16685,15175,13825,13077,12082,10050,7450.9,5521.8,4787.2,4539.6,3852.1,2701.6
935.37,664.72,174.01,-564.49,-1442.3,-2417.5,-3591.6,-4957.5,-6119.3,-6466.6,-5767.3,-4510.8,-3507.3,-3125.1,-3025.4,-2654.5,-1824.4,-692.87,664.01,2332.4,4100.7,5157.2,4590.5,2322.9,-551.45,-2491.8,-2629.7,-1248.5,681.65,2315.6,3350.5,3884.4,4080.1,4014.6
930.72,462.27,-647.59,-1049.4,-310.46,-771.72,-6030.5,-16805,-28782,-35495,-33659,-25511,-16094,-8913,-4313.3,-1081.4,1641.8,4133.9,6700.2,9597.6,12484,14570,15475,15558,15273,14540,13062,11019,9049.8,7542.4,6309.1,5053.7,3841.8,2866.3
558.69,547.2,-888.62,-3791.3,-6881.2,-8784.1,-9433.1,-9868.9,-10673,-11048,-9740.4,-6580,-2715.6,652.32,3350.3,5907.6,8526.6,10759,12099,12476,12054,10874,9005.1,6925.9,5366.4,4643.1,4322.6,3702.5,2542.3,1190.7,70.631,-751.96,-1438.1,-1994.1
-2830.5,-4465.8,-5833.8,-6088.3,-5186.1,-4068.5,-3908.9,-4999.7,-6374,-6645.7,-5309.7,-3218.6,-1786.1,-1741.2,-2612.8,-3284.9,-2955.9,-1638.6,80.664,1653.4,2974.8,4269.7,5629.5,6717,7019.6,6425.5,5449.5,4769,4563.2,4431.3,3958.5,3172.2,2326.2,1424.6
-629.28,-837.91,-977.74,-1839.4,-3806.3,-6365.9,-8559.3,-9816.3,-10264,-10281,-9917.7,-8839.4,-6795,-4019.3,-1117.2,1417.7,3521.9,5415.5,7213.4,8742.7,9721.1,10029,9751.9,9018.5,7912.6,6590.9,5370.7,4540.3,4029.2,3373.4,2139.3,408.97,-1221.4,-2163.4
1008.6,547.35,-1100,-3940.4,-7063.2,-9324.4,-10310,-10532,-10678,-10753,-10061,-7983,-4701.2,-1116,1894.7,4083.6,5757.9,7248,8561.2,9497.8,9925.4,9827.8,9175.3,7931.5,6250.1,4545.8,3243.2,2453.2,1958.6,1496.4,974.5,421.31,-148.35,-728.91
1667.2,1788.3,1061.3,609.4,1160.1,865.74,-3902.4,-14557,-27341,-35408,-34452,-26154,-16014,-8318.6,-3564.4,-46.439,3401.7,6740.2,9809.7,12839,15717,17578,17662,16316,14678,13472,12519,11415,10198,9086.2,7911.3,6282.1,4265.4,2502
-1717,-1008.3,-683.97,-1110.2,-2292.5,-3892.1,-5489.1,-6804.1,-7713.6,-8136.2,-7966.7,-7133.3,-5708.6,-3945.7,-2186.3,-712.06,346.6,1012.8,1419.1,1740.3,2091,2426.5,2565.4,2359.6,1848.6,1210.5,570.96,-69.365,-692.94,-1136.3,-1216.4,-985.04,-745.18,-731.98
